bot,elo,nb_played,SHUSS_1000_C16,SHUSS_1000_C64,SHUSS_1000_C128,SHUSS_1000_C256,UCT_1000,SH_1000,GRAVE_1000,RAVE_1000,UCB_1000,FLAT_1000
SHUSS_1000_C16,1278,178,0/0,5/5,6/4,6/6,6/9,7/9,4/7,8/6,10/9,10/9
SHUSS_1000_C64,1190,178,5/5,0/0,6/5,3/5,5/8,4/8,7/7,7/6,9/8,10/9
SHUSS_1000_C128,1232,176,6/4,5/4,0/0,5/7,3/7,3/7,5/4,8/5,10/10,9/10
SHUSS_1000_C256,1310,177,4/4,5/7,3/5,0/0,8/9,7/6,7/7,5/6,8/10,10/9
UCT_1000,1140,178,1/4,2/5,3/7,1/2,0/0,6/4,3/6,6/4,6/8,9/10
SH_1000,1090,177,1/3,2/6,3/7,4/3,6/4,0/0,6/1,5/3,8/9,6/8
GRAVE_1000,1141,178,3/6,3/3,6/5,3/3,4/7,9/4,0/0,5/6,7/10,9/7
RAVE_1000,1096,161,3/1,3/2,2/1,2/4,4/4,7/2,3/4,0/0,8/7,8/10
UCB_1000,877,180,1/0,2/1,0/0,0/2,2/4,1/2,0/3,3/2,0/0,10/6
FLAT_1000,781,179,1/0,1/0,0/1,1/0,0/1,2/4,3/1,0/1,4/0,0/0
