bot,elo,nb_played,SHUSS_1000_C16,SHUSS_1000_C64,SHUSS_1000_C128,SHUSS_1000_C256,UCT_1000,SH_1000,GRAVE_1000,RAVE_1000,UCB_1000,FLAT_1000
SHUSS_1000_C16,1262,88,0/0,1/3,2/5,2/4,2/3,3/5,3/3,2/2,5/4,4/5
SHUSS_1000_C64,1310,89,2/4,0/0,3/4,4/2,3/5,4/3,2/3,3/5,4/5,5/5
SHUSS_1000_C128,1289,89,0/3,1/2,0/0,4/3,4/3,3/5,5/3,3/5,5/5,4/5
SHUSS_1000_C256,1297,90,1/3,3/1,2/1,0/0,5/3,4/4,4/4,5/5,5/5,5/5
UCT_1000,1192,90,2/3,0/2,2/1,2/0,0/0,1/3,3/3,4/4,5/5,4/5
SH_1000,1163,90,0/2,2/1,0/2,1/1,2/4,0/0,1/3,1/2,4/5,4/5
GRAVE_1000,1192,90,2/2,2/3,2/0,1/1,2/2,2/4,0/0,3/4,4/3,4/5
RAVE_1000,1062,86,3/1,0/1,0/1,0/0,1/1,3/4,1/2,0/0,4/3,3/5
UCB_1000,889,90,1/0,0/1,0/0,0/0,0/0,0/1,2/1,2/1,0/0,3/1
FLAT_1000,885,90,0/1,0/0,0/1,0/0,0/1,0/1,0/1,0/2,4/2,0/0
