datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_08_12_09_18,SHUSS_1000_C16,SHUSS_1000_C256,SHUSS_1000_C16,1200,1200,1220,1180
2021_04_08_12_09_18,SHUSS_1000_C256,SHUSS_1000_C16,SHUSS_1000_C256,1180,1220,1202,1197
2021_04_08_12_21_23,SHUSS_1000_C16,SHUSS_1000_C256,SHUSS_1000_C16,1200,1200,1220,1180
2021_04_08_12_21_23,SHUSS_1000_C256,SHUSS_1000_C16,SHUSS_1000_C256,1180,1220,1202,1197
2021_04_08_12_21_23,SHUSS_1000_C64,Random,SHUSS_1000_C64,1200,1200,1220,1180
2021_04_08_12_21_23,Random,SHUSS_1000_C64,SHUSS_1000_C64,1180,1220,1162,1237
2021_04_08_12_21_23,SHUSS_1000_C16,SHUSS_1000_C64,SHUSS_1000_C16,1197,1237,1219,1214
2021_04_08_12_21_23,SHUSS_1000_C64,SHUSS_1000_C16,SHUSS_1000_C64,1214,1219,1234,1198
2021_04_08_12_21_23,SHUSS_1000_C256,Random,SHUSS_1000_C256,1202,1162,1219,1144
2021_04_08_12_21_23,Random,SHUSS_1000_C256,SHUSS_1000_C256,1144,1219,1128,1234
2021_04_08_12_21_23,SHUSS_1000_C128,Random,SHUSS_1000_C128,1200,1128,1215,1112
2021_04_08_12_21_23,Random,SHUSS_1000_C128,SHUSS_1000_C128,1112,1215,1097,1229
