datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_10000_64,1200,1200,1180,1220
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_10000_64,1220,1180,1237,1162
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_10000_64,1162,1237,1146,1252
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_10000_64,1252,1146,1266,1131
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_10000_64,1131,1266,1118,1278
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_10000_64,1278,1118,1289,1106
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_10000_64,1106,1289,1095,1299
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_10000_64,1299,1095,1308,1085
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_10000_64,1085,1308,1076,1316
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_10000_64,1316,1076,1324,1067
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_1000_64,1067,1324,1091,1299
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_1000_64,1299,1091,1275,1114
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_10000_64,1114,1275,1105,1283
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_1000_64,1283,1105,1260,1127
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_10000_64,1127,1260,1117,1269
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_10000_64,1269,1117,1277,1108
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_10000_64,1108,1277,1099,1285
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_10000_64,1285,1099,1292,1091
2021_04_09_20_08_04,SHUSS_1000_64,SHUSS_10000_64,SHUSS_10000_64,1091,1292,1083,1299
2021_04_09_20_08_04,SHUSS_10000_64,SHUSS_1000_64,SHUSS_10000_64,1299,1083,1305,1076
