datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_07_19_26_40,GRAVE_1000,RAVE_1000,RAVE_1000,1200,1200,1180,1220
2021_04_07_19_26_40,RAVE_1000,GRAVE_1000,GRAVE_1000,1220,1180,1197,1202
2021_04_07_19_26_40,SHUSS_1000_C16,SH_1000,SHUSS_1000_C16,1200,1200,1220,1180
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C16,SHUSS_1000_C16,1180,1220,1162,1237
2021_04_07_19_26_40,SH_1000,RAVE_1000,Error,1162,1197,1162,1197
2021_04_07_19_26_40,RAVE_1000,SH_1000,SH_1000,1197,1162,1174,1184
2021_04_07_19_26_40,SH_1000,UCB_1000,UCB_1000,1184,1200,1164,1219
2021_04_07_19_26_40,UCB_1000,SH_1000,SH_1000,1219,1164,1195,1187
2021_04_07_19_26_40,SHUSS_1000_C256,UCT_1000,SHUSS_1000_C256,1200,1200,1220,1180
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C256,SHUSS_1000_C256,1180,1220,1162,1237
2021_04_07_19_26_40,GRAVE_1000,UCB_1000,UCB_1000,1202,1195,1181,1215
2021_04_07_19_26_40,UCB_1000,GRAVE_1000,GRAVE_1000,1215,1181,1193,1202
2021_04_07_19_26_40,SHUSS_1000_C64,UCT_1000,UCT_1000,1200,1162,1177,1184
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C64,SHUSS_1000_C64,1184,1177,1163,1197
2021_04_07_19_26_40,SHUSS_1000_C64,RAVE_1000,SHUSS_1000_C64,1197,1174,1215,1155
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C64,SHUSS_1000_C64,1155,1215,1138,1231
2021_04_07_19_26_40,SHUSS_1000_C16,SHUSS_1000_C128,SHUSS_1000_C16,1237,1200,1254,1182
2021_04_07_19_26_40,SHUSS_1000_C128,SHUSS_1000_C16,SHUSS_1000_C128,1182,1254,1206,1229
2021_04_07_19_26_40,SHUSS_1000_C16,SHUSS_1000_C64,SHUSS_1000_C64,1229,1231,1209,1250
2021_04_07_19_26_40,SHUSS_1000_C64,SHUSS_1000_C16,SHUSS_1000_C16,1250,1209,1227,1231
2021_04_07_19_26_40,SHUSS_1000_C256,SH_1000,SHUSS_1000_C256,1237,1187,1254,1169
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C256,SH_1000,1169,1254,1193,1229
2021_04_07_19_26_40,UCT_1000,UCB_1000,UCT_1000,1163,1193,1184,1171
2021_04_07_19_26_40,UCB_1000,UCT_1000,UCT_1000,1171,1184,1151,1203
2021_04_07_19_26_40,RAVE_1000,UCB_1000,RAVE_1000,1138,1151,1158,1130
2021_04_07_19_26_40,UCB_1000,RAVE_1000,UCB_1000,1130,1158,1151,1136
2021_04_07_19_26_40,SHUSS_1000_C64,UCB_1000,SHUSS_1000_C64,1227,1151,1242,1135
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C64,SHUSS_1000_C64,1135,1242,1120,1256
2021_04_07_19_26_40,SHUSS_1000_C16,RAVE_1000,SHUSS_1000_C16,1231,1136,1245,1121
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C16,RAVE_1000,1121,1245,1147,1218
2021_04_07_19_26_40,SHUSS_1000_C64,GRAVE_1000,SHUSS_1000_C64,1256,1202,1272,1185
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C64,GRAVE_1000,1185,1272,1209,1247
2021_04_07_19_26_40,RAVE_1000,FLAT_1000,RAVE_1000,1147,1200,1170,1176
2021_04_07_19_26_40,FLAT_1000,RAVE_1000,RAVE_1000,1176,1170,1155,1185
2021_04_07_19_26_40,SHUSS_1000_C16,UCB_1000,SHUSS_1000_C16,1218,1120,1232,1109
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C16,UCB_1000,1109,1232,1129,1205
2021_04_07_19_26_40,SHUSS_1000_C256,FLAT_1000,SHUSS_1000_C256,1229,1155,1244,1139
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C256,SHUSS_1000_C256,1139,1244,1124,1258
2021_04_07_19_26_40,SHUSS_1000_C128,SHUSS_1000_C256,SHUSS_1000_C256,1206,1258,1188,1275
2021_04_07_19_26_40,SHUSS_1000_C256,SHUSS_1000_C128,SHUSS_1000_C128,1275,1188,1250,1212
2021_04_07_19_26_40,SHUSS_1000_C256,UCB_1000,UCB_1000,1250,1129,1223,1149
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C256,SHUSS_1000_C256,1149,1223,1137,1238
2021_04_07_19_26_40,SH_1000,FLAT_1000,SH_1000,1193,1124,1209,1107
2021_04_07_19_26_40,FLAT_1000,SH_1000,SH_1000,1107,1209,1092,1223
2021_04_07_19_26_40,SHUSS_1000_C16,UCT_1000,UCT_1000,1205,1203,1189,1223
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C16,SHUSS_1000_C16,1223,1189,1201,1205
2021_04_07_19_26_40,SHUSS_1000_C64,SHUSS_1000_C256,SHUSS_1000_C64,1247,1238,1261,1223
2021_04_07_19_26_40,SHUSS_1000_C256,SHUSS_1000_C64,SHUSS_1000_C64,1223,1261,1209,1274
2021_04_07_19_26_40,SHUSS_1000_C16,SHUSS_1000_C256,SHUSS_1000_C16,1205,1209,1220,1193
2021_04_07_19_26_40,SHUSS_1000_C256,SHUSS_1000_C16,SHUSS_1000_C16,1193,1220,1179,1233
2021_04_07_19_26_40,SHUSS_1000_C128,RAVE_1000,SHUSS_1000_C128,1212,1185,1230,1171
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C128,SHUSS_1000_C128,1171,1230,1158,1246
2021_04_07_19_26_40,SHUSS_1000_C128,UCT_1000,SHUSS_1000_C128,1246,1201,1263,1183
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C128,UCT_1000,1183,1263,1207,1238
2021_04_07_19_26_40,UCT_1000,RAVE_1000,UCT_1000,1207,1158,1219,1145
2021_04_07_19_26_40,RAVE_1000,UCT_1000,Error,1145,1219,1145,1219
