Unnamed: 0,datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
,2021_04_08_14_15_58,UCT_1000,SH_1000,SH_1000,1200,1200,1180,1220
,2021_04_08_14_15_58,SH_1000,UCT_1000,SH_1000,1220,1180,1237,1162
,2021_04_08_14_15_58,SHUSS_1000_C64,UCT_1000,UCT_1000,1200,1162,1177,1184
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C64,SHUSS_1000_C64,1184,1177,1163,1197
,2021_04_08_14_15_58,SHUSS_1000_C256,RAVE_1000,SHUSS_1000_C256,1200,1200,1220,1180
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C256,SHUSS_1000_C256,1180,1220,1162,1237
,2021_04_08_14_15_58,SHUSS_1000_C16,UCT_1000,SHUSS_1000_C16,1200,1163,1217,1145
,2021_04_08_14_15_58,UCT_1000,SHUSS_1000_C16,UCT_1000,1145,1217,1169,1192
,2021_04_08_14_15_58,SHUSS_1000_C256,GRAVE_1000,GRAVE_1000,1237,1200,1214,1222
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C256,SHUSS_1000_C256,1222,1214,1201,1234
,2021_04_08_14_15_58,GRAVE_1000,RAVE_1000,RAVE_1000,1201,1162,1178,1184
,2021_04_08_14_15_58,RAVE_1000,GRAVE_1000,GRAVE_1000,1184,1178,1163,1198
,2021_04_08_14_15_58,SHUSS_1000_C256,UCB_1000,SHUSS_1000_C256,1234,1200,1252,1181
,2021_04_08_14_15_58,UCB_1000,SHUSS_1000_C256,SHUSS_1000_C256,1181,1252,1165,1267
,2021_04_08_14_15_58,SHUSS_1000_C16,FLAT_1000,SHUSS_1000_C16,1192,1200,1212,1179
,2021_04_08_14_15_58,FLAT_1000,SHUSS_1000_C16,SHUSS_1000_C16,1179,1212,1160,1230
,2021_04_08_14_15_58,SHUSS_1000_C64,UCB_1000,SHUSS_1000_C64,1197,1165,1215,1146
,2021_04_08_14_15_58,UCB_1000,SHUSS_1000_C64,SHUSS_1000_C64,1146,1215,1129,1231
,2021_04_08_14_15_58,UCT_1000,GRAVE_1000,GRAVE_1000,1169,1198,1150,1216
,2021_04_08_14_15_58,GRAVE_1000,UCT_1000,UCT_1000,1216,1150,1192,1173
,2021_04_08_14_15_58,SHUSS_1000_C16,GRAVE_1000,GRAVE_1000,1230,1192,1207,1214
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C16,SHUSS_1000_C16,1214,1207,1193,1227
,2021_04_08_14_15_58,GRAVE_1000,UCB_1000,GRAVE_1000,1193,1129,1209,1112
,2021_04_08_14_15_58,UCB_1000,GRAVE_1000,UCB_1000,1112,1209,1137,1183
,2021_04_08_14_15_58,RAVE_1000,FLAT_1000,FLAT_1000,1163,1160,1142,1180
,2021_04_08_14_15_58,FLAT_1000,RAVE_1000,RAVE_1000,1180,1142,1157,1164
,2021_04_08_14_15_58,SH_1000,UCB_1000,SH_1000,1237,1137,1251,1122
