bot,elo,nb_played,SHUSS_1000_C16,SHUSS_1000_C64,SHUSS_1000_C128,SHUSS_1000_C256,UCT_1000,SH_1000,GRAVE_1000,RAVE_1000,UCB_1000,FLAT_1000,nb_wins,winrate
SHUSS_1000_C256,1160,360,35.0/70.0,60.0/55.0,50.0/55.0,0.0/0.0,35.0/65.0,65.0/90.0,75.0/65.0,50.0/85.0,75.0/95.0,80.0/90.0,239,66.38888888888889
SHUSS_1000_C16,1046,360,0.0/0.0,60.0/60.0,45.0/40.0,30.0/65.0,60.0/75.0,50.0/55.0,65.0/55.0,65.0/75.0,100./100.,85.0/75.0,232,64.44444444444444
SHUSS_1000_C128,1098,360,60.0/55.0,50.0/60.0,0.0/0.0,45.0/50.0,50.0/75.0,50.0/60.0,70.0/65.0,45.0/70.0,75.0/90.0,85.0/90.0,229,63.61111111111111
SHUSS_1000_C64,1092,360,40.0/40.0,0.0/0.0,40.0/50.0,45.0/40.0,30.0/60.0,75.0/70.0,60.0/60.0,70.0/50.0,80.0/80.0,95.0/70.0,211,58.611111111111114
UCT_1000,1159,360,25.0/40.0,40.0/70.0,25.0/50.0,35.0/65.0,0.0/0.0,35.0/70.0,35.0/40.0,50.0/55.0,75.0/90.0,75.0/85.0,192,53.333333333333336
GRAVE_1000,1053,360,45.0/35.0,40.0/40.0,35.0/30.0,35.0/25.0,60.0/65.0,30.0/60.0,0.0/0.0,50.0/65.0,80.0/95.0,90.0/65.0,189,52.5
SH_1000,963,360,45.0/50.0,30.0/25.0,40.0/50.0,10.0/35.0,30.0/65.0,0.0/0.0,40.0/70.0,45.0/65.0,70.0/90.0,80.0/90.0,186,51.66666666666667
RAVE_1000,1088,360,25.0/35.0,50.0/30.0,30.0/55.0,15.0/50.0,45.0/50.0,35.0/55.0,35.0/50.0,0.0/0.0,65.0/80.0,75.0/85.0,173,48.05555555555556
FLAT_1000,703,360,25.0/15.0,30.0/5.0,10.0/15.0,10.0/20.0,15.0/25.0,10.0/20.0,35.0/10.0,15.0/25.0,35.0/55.0,0.0/0.0,75,20.833333333333336
UCB_1000,844,360,0.0/0.0,20.0/20.0,10.0/25.0,5.0/25.0,10.0/25.0,10.0/30.0,5.0/20.0,20.0/35.0,0.0/0.0,45.0/65.0,74,20.555555555555554
