white_bot,black_bot,score,time
UCT_1000,SH_1000,0.0,244.692855282
SH_1000,UCT_1000,1.0,93.86055976800003
SHUSS_1000_C64,UCT_1000,0.0,409.901302303
UCT_1000,SHUSS_1000_C64,0.0,78.7601043709999
SHUSS_1000_C256,RAVE_1000,1.0,200.3319179340001
RAVE_1000,SHUSS_1000_C256,0.0,57.43845559900001
SHUSS_1000_C16,UCT_1000,1.0,331.6323765929999
UCT_1000,SHUSS_1000_C16,1.0,65.08837038599995
SHUSS_1000_C256,GRAVE_1000,0.0,355.911820754
GRAVE_1000,SHUSS_1000_C256,0.0,280.4515768140002
GRAVE_1000,RAVE_1000,0.0,276.6053355140002
RAVE_1000,GRAVE_1000,0.0,363.60717960700003
SHUSS_1000_C256,UCB_1000,1.0,113.67785908099995
UCB_1000,SHUSS_1000_C256,0.0,213.21719374500026
SHUSS_1000_C16,FLAT_1000,1.0,81.17761521900002
FLAT_1000,SHUSS_1000_C16,0.0,31.563368352999987
SHUSS_1000_C64,UCB_1000,1.0,78.35233948300038
UCB_1000,SHUSS_1000_C64,0.0,191.11146696100013
UCT_1000,GRAVE_1000,0.0,273.221841993
GRAVE_1000,UCT_1000,0.0,353.4976479230004
SHUSS_1000_C16,GRAVE_1000,0.0,429.70698254499985
GRAVE_1000,SHUSS_1000_C16,0.0,203.5661759929999
GRAVE_1000,UCB_1000,1.0,77.53910605700003
UCB_1000,GRAVE_1000,1.0,217.17982215099983
RAVE_1000,FLAT_1000,0.0,68.7325589989996
FLAT_1000,RAVE_1000,0.0,93.40179556099974
SH_1000,UCB_1000,1.0,112.76307600699965
UCB_1000,SH_1000,0.0,70.93893119400036
UCT_1000,RAVE_1000,0.0,250.95982567600004
RAVE_1000,UCT_1000,0.0,74.7651111109999
SH_1000,RAVE_1000,0.0,190.65232585800004
RAVE_1000,SH_1000,1.0,160.21279886900084
SHUSS_1000_C128,UCB_1000,1.0,142.34370083199974
UCB_1000,SHUSS_1000_C128,0.0,91.04211390300043
UCT_1000,FLAT_1000,1.0,170.85451538000052
FLAT_1000,UCT_1000,0.0,131.19866527200065
SHUSS_1000_C128,FLAT_1000,1.0,74.33558566100055
FLAT_1000,SHUSS_1000_C128,0.0,243.42365224100013
SHUSS_1000_C16,UCB_1000,1.0,57.3371082929998
UCB_1000,SHUSS_1000_C16,0.0,56.11419389399998
